title|year|Abstract|Keywords|Keywords-Plus|Web-of-Science-Categories|Times-Cited|Usage-Count-Last-180-days|Usage-Count-Since-2013
Do fourth graders integrate text and picture in processing and learning from an illustrated science text? Evidence from eye-movement patterns|2013|This study used eye-tracking methodology in the school setting to examine fourth graders' online processing of text and graphics while reading an illustrated science text. We were interested in identifying patterns of visual behavior, which was examined considering individual differences in reading comprehension, prior knowledge, and spatial ability. We also investigated the outcomes of learning from text by measuring free recall, factual knowledge, and transfer of knowledge. For an important advancement of research in this area, the link between processing and learning was also examined. Forty-nine 4th graders participated in a pretest, immediate, and delayed posttest design. Results of a cluster analysis using indices of first- and second-pass eye-fixation, as well as integrative saccades revealed three patterns of visual behavior varying for the level of integration of text and picture. Significant associations between eye-tracking data and reading comprehension and prior knowledge emerged. Moreover, the three patterns of visual behavior were significantly related to students' performances in the various learning tasks at both testing times. The greater integrative processing of the illustrated text was associated with higher learning performances. The significance of the study for educational implications is outlined. (C) 2012 Elsevier Ltd. All rights reserved.|Text processing; Eye movements; Text and picture comprehension; Learning from text; Comprehension of science text|WORKING-MEMORY CAPACITY; PRIOR KNOWLEDGE; EXPOSITORY TEXT; MULTIPLE REPRESENTATIONS; COMPREHENSION PROCESSES; READING-COMPREHENSION; FIXATION PATTERNS; SCIENTIFIC TEXT; SPATIAL ABILITY; REFUTATION TEXT|Computer Science, Interdisciplinary Applications; Education \& Educational Research|58|5|83
Divergence and convergence: technology-relatedness evolution in solar energy industry|2013|Exploring and measuring technology-relatedness and its collateral technology divergence and convergence, would have far-reaching theoretical significance and academic value on the chain mode of technology development, and also on the mastery of the laws for technology evolution and progress. Taking the patentometric analysis of solar energy technology worldwide as a case, employing the methodology of technology co-classification analysis, choosing two indicators, namely, mean technology co-classification partners (MTCP) and mean technology co-classification index (MTCI), we have analyzed and measured the evolving process of technology-relatedness. The results not only demonstrate in a direct manner the continuously advancing character of solar energy technology in the tensions of technology divergence and convergence, but also reveal quantitatively that, due to the chain reaction of technology-relatedness, technology divergence and technology convergence would tend to evolve in parallel. Through these, it is indicated that technology divergence and technology convergence are two trends which would develop separately, react mutually, and serve as causation for each other, thus making chain progress and continuously pushing forward the innovation, creation and upgrading of technologies. This is a regular phenomenon on condition that the specific technology area is in a status of sustainable development. It still awaits further research on how to verify and reveal the general principles on the interaction between technology divergence and convergence by conducting empirical studies and combining patent analysis.|Technology divergence and convergence; Technology-relatedness; Solar energy industry; Patent analysis; Co-classification analysis; Jaccard index|CO-CLASSIFICATION ANALYSIS; POLYMERASE-CHAIN-REACTION; INTERFIRM COOPERATION; PATENT ANALYSIS; CAR RACE; FIRMS; DIVERSIFICATION; INDICATORS; PROGRAM; TEXT|Computer Science, Interdisciplinary Applications; Information Science \& Library Science|8|11|82
Automated news reading: Stock price prediction based on financial news using context-capturing features|2013|We examine whether stock price prediction based on textual information in financial news can be improved as previous approaches only yield prediction accuracies close to guessing probability. Accordingly, we enhance existing text mining methods by using more expressive features to represent text and by employing market feedback as part of our feature selection process. We show that a robust feature selection allows lifting classification accuracies significantly above previous approaches when combined with complex feature types. This is because our approach allows selecting semantically relevant features and thus, reduces the problem of over-fitting when applying a machine learning approach. We also demonstrate that our approach is highly profitable for trading in practice. The methodology can be transferred to any other application area providing textual information and corresponding effect data. (C) 2013 Elsevier B.V. All rights reserved.|Text mining; Financial news; Stock price prediction; Decision support|TEXTUAL ANALYSIS; SENTIMENT; INFORMATION; MANAGEMENT; MARKET; TALK|Computer Science, Artificial Intelligence; Computer Science, Information Systems; Operations Research \& Management Science|30|8|82
Knowledge mapping of the Iranian nanoscience and technology: a text mining approach|2012|Nanoscience and technology (NST) is a relatively new interdisciplinary scientific domain, and scholars from a broad range of different disciplines are contributing to it. However, there is an ambiguity in its structure and in the extent of multidisciplinary scientific collaboration of NST. This paper investigates the multidisciplinary patterns of Iranian research in NST based on a selection of 1,120 ISI-indexed articles published during 1974-2007. Using text mining techniques, 96 terms were identified as the main terms of the Iranian publications in NST. Then the scientific structure of the Iranian NST was mapped through multidimensional scaling, based upon the co-occurrence of the main terms in the academic publications. The results showed that the NST domain in Iranian publications has a multidisciplinary structure which is composed of different fields, such as pure physics, analytical chemistry, chemistry physics, material science and engineering, polymer science, biochemistry and new emerging topics.|Science map; Knowledge map; Nano science and technology; Text mining|CO-WORD ANALYSIS; NEURAL-NETWORK RESEARCH; SCIENCE-AND-TECHNOLOGY; NANOTECHNOLOGY LITERATURE; INFORMATION-SCIENCE; FIELD; SCIENTOMETRICS; EMERGENCE; MAPS; REPRESENTATIONS|Computer Science, Interdisciplinary Applications; Information Science \& Library Science|5|6|82
Understanding the evolving academic landscape of library and information science through faculty hiring data|2016|Using a 40-year (from 1975 to 2015) hiring dataset of 642 library and Information science (LIS) faculty members from 44 US universities, this research reveals the disciplinary characteristics of LIS through several key aspects including gender, rank, country, university, major, and research area. Results show that genders and ranks among LIS faculty members are evenly distributed; geographically, more than 90 \% of LIS faculty members received doctoral degrees in the US; meanwhile, 60 \% of LIS faculty received Ph.D. in LIS, followed by Computer Science and Education; in regards to research interests, Human-Computer interaction, Digital Librarianship, Knowledge Organization and Management, and Information Behavior are the most popular research areas among LIS faculty members. Through a series of dynamic analyses, this study shows that the educational background of LIS faculty members is becoming increasingly diverse; in addition, research areas such as Human-Computer interaction, Social Network Analysis, Services for Children and Youth, Information Literacy, Information Ethics and Policy, and Data and Text Mining, Natural Language Processing, Machine Learning have received an increasing popularity. Predictive analyses are performed to discover trends on majors and research areas. Results show that the growth rate of LIS faculty members is linearly distributed. In addition, among faculty member's Ph.D. majors, the share of LIS is decreasing while that the share of Computer Science is growing; among faculty members' research areas, the share of Human-Computer interaction is on the rise.|Library and information science education; Faculty hiring; Interdisciplinarity; Research areas|DEMOGRAPHIC INERTIA; NETWORK ANALYSIS; HIGHER-EDUCATION; REPRESENTATION; PLACEMENT; PAGERANK; PATTERNS|Computer Science, Interdisciplinary Applications; Information Science \& Library Science|1|16|81
Content-based author co-citation analysis|2014|Author co-citation analysis (ACA) has long been used as an effective method for identifying the intellectual structure of a research domain, but it relies on simple co-citation counting, which does not take the citation content into consideration. The present study proposes a new method for measuring the similarity between co-cited authors by considering author's citation content. We collected the full-text journal articles in the information science domain and extracted the citing sentences to calculate their similarity distances. We compared our method with traditional ACA and found out that our approach, while displaying a similar intellectual structure for the information science domain as the other baseline methods, also provides more details about the sub-disciplines in the domain than with traditional ACA. (C) 2013 Elsevier Ltd. All rights reserved.|Author co-citation analysis; Citation content analysis; Bibliometrics; Information science; Citation analysis|INTELLECTUAL STRUCTURE; ALL-AUTHOR; INFORMATION-SCIENCE; CITATION ANALYSIS; MANAGEMENT FIELD; PROXIMITY; WEB; PUBLICATIONS; NETWORKS; 1ST|Computer Science, Interdisciplinary Applications; Information Science \& Library Science|23|4|81
Written corrective feedback for individual L2 writers|2013|In this study, the controversial issue of written corrective feedback (WCF) is examined through a longitudinal (16-week semester) multiple-case study approach. Ten L2 writers (from ``Generation 1.5{''} backgrounds) in a developmental. ESL Writing class at a U.S. university wrote four in-class texts, revised them after receiving WCF, and participated in retrospective interviews after each of the first three writing and revision sessions. Data collected included student background questionnaires (N = 10), four student texts (originals plus revisions) per participant (N = 40), recordings and field notes from interviews with participants (N = 30), and recordings and notes from an end-of-semester interview with the classroom teacher. Analyses focused primarily on students' descriptions of their own self-monitoring processes as they revised marked papers and wrote new texts and individual and contextual factors that appeared to influence their writing development. Students found the techniques used in the study (focused WCF, revision,. and one-to-one discussion about errors) useful, but formal knowledge of language rules played a limited and sometimes even counterproductive role in their self-editing and composing. Our findings suggest that teachers should take a more finely tuned approach to corrective feedback and that future research designs investigating WCF should go beyond consideration of only students' written products. (C) 2012 Elsevier Inc. All rights reserved.|Written corrective feedback; Error correction; Self-editing strategies; Teacher feedback; Generation 1.5|WRITING CONFERENCES; GRAMMAR-CORRECTION; LEARNERS; 2ND-LANGUAGE; PERFORMANCE; STUDENTS; ERRORS; ESL; ENGLISH; SELF|Linguistics|35|2|81
Discovering business intelligence from online product reviews: A rule-induction framework|2012|Online product reviews are a major source of business intelligence (BI) that helps managers and marketers understand customers' concerns and interests. The large volume of review data makes it difficult to manually analyze customers' concerns. Automated tools have emerged to facilitate this analysis, however most lack the capability of extracting the relationships between the reviews' rich expressions and the customer ratings. Managers and marketers often resort to manually read through voluminous reviews to find the relationships. To address these challenges, we propose the development of a new class of BI systems based on rough set theory, inductive rule learning, and information retrieval methods. We developed a new framework for designing BI systems that extract the relationship between the customer ratings and their reviews. Using reviews of different products from Amazon.com, we conducted both qualitative and quantitative experiments to evaluate the performance of a BI system developed based on the framework. The results indicate that the system achieved high accuracy and coverage related to rule quality, and produced interesting and informative rules with high support and confidence values. The findings have important implications for market sentiment analysis and e-commerce reputation management. (C) 2012 Elsevier Ltd. All rights reserved.|E-commerce; Online reviews; Data mining; Text mining; Association rule mining; Rough set theory; Business intelligence; Online reputation|CUSTOMER RELATIONSHIP MANAGEMENT; ROUGH SET-THEORY; RECOMMENDER SYSTEMS; KNOWLEDGE; CLASSIFICATION; INFORMATION; WEB; MODEL|Computer Science, Artificial Intelligence; Engineering, Electrical \& Electronic; Operations Research \& Management Science|24|2|81
Linguistic features for review helpfulness prediction|2015|Online reviews play a critical role in customer's purchase decision making process on the web. The reviews are often ranked based on user helpfulness votes to minimize the review information overload problem. This paper examines the factors that contribute towards helpfulness of online reviews and builds a predictive model. The proposed predictive model extracts novel linguistic category features by analysing the textual content of reviews. In addition, the model makes use of review metadata, subjectivity and readability related features for helpfulness prediction. Our experimental analysis on two real-life review datasets reveals that a hybrid set of features deliver the best predictive accuracy. We also show that the proposed linguistic category features are better predictors of review helpfulness for experience goods such as books, music, and video games. The findings of this study can provide new insights to e-commerce retailers for better organization and ranking of online reviews and help customers in making better product choices. (C) 2015 Elsevier Ltd. All rights reserved.|Review helpfulness; Linguistic category features; Sentiment analysis; Machine learning; Text mining|CONSUMER-BEHAVIOR|Computer Science, Artificial Intelligence; Engineering, Electrical \& Electronic; Operations Research \& Management Science|19|10|80
Pharmacovigilance from social media: mining adverse drug reaction mentions using sequence labeling with word embedding cluster features|2015|Objective Social media is becoming increasingly popular as a platform for sharing personal health-related information. This information can be utilized for public health monitoring tasks, particularly for pharmacovigilance, via the use of natural language processing (NLP) techniques. However, the language in social media is highly informal, and user-expressed medical concepts are often nontechnical, descriptive, and challenging to extract. There has been limited progress in addressing these challenges, and thus far, advanced machine learning-based NLP techniques have been underutilized. Our objective is to design a machine learning-based approach to extract mentions of adverse drug reactions (ADRs) from highly informal text in social media. Methods We introduce ADRMine, a machine learning-based concept extraction system that uses conditional random fields (CRFs). ADRMine utilizes a variety of features, including a novel feature for modeling words' semantic similarities. The similarities are modeled by clustering words based on unsupervised, pretrained word representation vectors (embeddings) generated from unlabeled user posts in social media using a deep learning technique. Results ADRMine outperforms several strong baseline systems in the ADR extraction task by achieving an F-measure of 0.82. Feature analysis demonstrates that the proposed word cluster features significantly improve extraction performance. Conclusion It is possible to extract complex medical concepts, with relatively high performance, from informal, user-generated content. Our approach is particularly scalable, suitable for social media mining, as it relies on large volumes of unlabeled data, thus diminishing the need for large, annotated training data sets.|adverse drug reaction; ADR; social media mining; pharmacovigilance; natural language processing; machine learning; deep learning word embeddings|WEB; EXTRACTION; DISCOVERY; AGREEMENT; DATABASE; TEXT|Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Health Care Sciences \& Services; Information Science \& Library Science; Medical Informatics|48|15|79
Design and evaluation of instructor-based and peer-oriented attention guidance functionalities in an open source anchored discussion system|2014|Social interactions to supplement learning and asynchronous tools to facilitate exchange of quality ideas have gained much attention in information systems education. While various systems exist, students have difficulty with deep processing of complex instructional materials (e.g., concepts of a theory and pedagogical support mechanisms derived from a theory). This research proposes a theoretical framework that leverages attention guidance in a social constructivist approach to facilitate processing of central domain concepts, principles, and their interrelations. Using an open source anchored discussion system, we designed a set of instructor-based and peer-oriented attention guidance functionalities involving dynamic manipulation of text font size similar to tag clouds. We conducted an experimental study with two small groups of first-year doctoral students in a blended-learning classroom format. Students in the control group had no access to attention guidance functions. Students in the treatment group used instructor-based attention guidance functionality and then switched to peer-oriented attention guidance functionality. The evaluation compared focus, content, and sequential organization of students' online discussion messages with heat maps, content analysis, sequential analysis, and statistical discourse analysis to examine different facets of the phenomenon in a holistic way. The results show that in areas where students struggle to understand challenging concepts, instructor-based attention guidance functionality facilitated elaboration and negotiation of ideas, which is fundamental to higher order thinking. In addition, after switching to peer-oriented attention guidance functionality, students in the treatment group took the lead in pinpointing challenging concepts they did not previously understand. These findings indicate that instructor-based and peer-oriented attention guidance functionalities offer students an indirect way of focusing their attention on deep processing of challenging concepts in an inherently open learning environment. Implications for theory, software design, and future research are discussed. Published by Elsevier Ltd.|Anchored discussion system; Attention guidance; Social constructivism; Heat maps; Statistical discourse analysis|ONLINE LEARNING CONVERSATIONS; COGNITIVE LOAD; KNOWLEDGE ACQUISITION; SPLIT-ATTENTION; ENVIRONMENTS; DISCOURSE; ARGUMENTATION; TECHNOLOGY; ANIMATIONS; CONSTRUCTION|Computer Science, Interdisciplinary Applications; Education \& Educational Research|6|0|79
Detecting weak signals for long-term business opportunities using text mining of Web news|2012|In an uncertain business environment, competitive intelligence requires peripheral vision to scan and identify weak signals that can affect the future business environment. Weak signals are defined as imprecise and early indicators of impending important events or trends, which are considered key to formulating new potential business items. However, existing methods for discovering weak signals rely on the knowledge and expertise of experts, whose services are not widely available and tend to be costly. They may even provide different analysis results. Therefore, this paper presents a quantitative method that identifies weak signal topics by exploiting keyword-based text mining. The proposed method is illustrated using Web news articles related to solar cells. As a supportive tool for the expert-based approach, this method can be incorporated into long-term business planning processes to assist experts in identifying potential business items. (C) 2012 Elsevier Ltd. All rights reserved.|Weak signal; Future sign; Text mining; Web news; Peripheral vision; Business intelligence|DECISION-MAKING; TECHNOLOGY; NETWORKS; TRENDS; PATENTS|Computer Science, Artificial Intelligence; Engineering, Electrical \& Electronic; Operations Research \& Management Science|21|7|79
A survey of the applications of text mining in financial domain|2016|Text mining has found a variety of applications in diverse domains. Of late, prolific work is reported in using text mining techniques to solve problems in financial domain. The objective of this paper is to provide a state-of-the-art survey of various applications of Text mining to finance. These applications are categorized broadly into FOREX rate prediction, stock market prediction, customer relationship management (CRM) and cyber security. Since finance is a service industry, these problems are paramount in operational and customer growth aspects. We reviewed 89 research papers that appeared during the period 2000-2016, highlighted some of the issues, gaps, key challenges in this area and proposed some future research directions. Finally, this review can be extremely useful to budding researchers in this area, as many open problems are highlighted. (C) 2016 Elsevier B.V. All rights reserved.|Text mining; Financial applications; FOREX rate prediction; Stock market prediction; Customer relationship management; Cyber security|MACHINE LEARNING APPROACH; INTRUSION-DETECTION; SENTIMENT ANALYSIS; INFORMATION-CONTENT; MARKET PREDICTION; PHISHING ATTACKS; MACRO NEWS; CLASSIFICATION; SYSTEM; WEB|Computer Science, Artificial Intelligence|15|16|78
Emotion detection in suicide notes|2013|The success of suicide prevention, a major public health concern worldwide, hinges on adequate suicide risk assessment. Online platforms are increasingly used for expressing suicidal thoughts, but manual monitoring is unfeasible given the information overload experts are confronted with. We investigate whether the recent advances in natural language processing, and more specifically in sentiment mining, can be used to accurately pinpoint 15 different emotions, which might be indicative of suicidal behavior. A system for automatic emotion detection was built using binary support vector machine classifiers. We hypothesized that lexical and semantic features could be an adequate way to represent the data, as emotions seemed to be lexicalized consistently. The optimal feature combination for each of the different emotions was determined using bootstrap resampling. Spelling correction was applied to the input data, in order to reduce lexical variation. Classification performance varied between emotions, with scores up to 68.86\% F-score. F-scores above 40\% were achieved for six of the seven most frequent emotions: thankfulness, guilt, love, information, hopelessness and instructions. The most salient features are trigram and lemma bags-of-words and subjectivity clues. Spelling correction had a slightly positive effect on classification performance. We showed that fine-grained automatic emotion detection benefits from classifier optimization and a combined lexico-semantic feature representation. The modest performance improvements obtained through spelling correction might indicate the robustness of the system to noisy input text. We conclude that natural language processing techniques have future application potential for suicide prevention. (c) 2013 Elsevier Ltd. All rights reserved.|Natural language processing; Suicide; Emotion|RESOURCES; LANGUAGE|Computer Science, Artificial Intelligence; Engineering, Electrical \& Electronic; Operations Research \& Management Science|24|3|77
